"x"
"1";0
"2";4
"3";11
"4";16
"5";25
"6";30
"7";39
"8";45
"9";46
"10";54
"11";57
"12";64
"13";68
"14";74
"15";79
"16";86
"17";91
"18";96
"19";104
"20";105
"21";113
"22";121
"23";127
"24";134
"25";135
"26";145
"27";151
"28";153
"29";163
"30";171
"31";177
"32";179
"33";184
"34";189
"35";192
"36";197
"37";203
"38";207
"39";210
"40";210
"41";210
"42";213
"43";222
"44";232
"45";238
"46";244
"47";247
"48";251
"49";253
"50";258
"51";261
"52";262
"53";266
"54";268
"55";268
"56";270
"57";270
"58";274
"59";275
"60";276
"61";276
"62";276
"63";282
"64";282
"65";284
"66";285
"67";290
"68";300
"69";302
"70";308
"71";312
"72";315
"73";322
"74";324
"75";327
"76";333
"77";339
"78";344
"79";348
"80";353
"81";359
"82";364
"83";370
"84";375
"85";381
"86";384
"87";386
"88";387
"89";389
"90";390
"91";393
"92";398
"93";401
"94";403
"95";409
"96";419
"97";430
"98";435
"99";435
"100";441
"101";448
"102";449
"103";449
"104";452
"105";462
"106";472
"107";476
"108";476
"109";486
"110";493
"111";493
"112";494
"113";494
"114";494
"115";499
"116";501
"117";508
"118";516
"119";522
"120";532
"121";539
"122";546
"123";555
"124";557
"125";560
"126";564
"127";567
"128";567
"129";570
"130";570
"131";571
"132";571
"133";571
"134";571
"135";572
"136";572
"137";572
"138";574
"139";583
"140";584
"141";584
"142";584
"143";586
"144";587
"145";588
"146";590
"147";594
"148";608
"149";610
"150";627
"151";632
"152";639
"153";646
