"AOP_ID"	"Vs"	"Es"	"MIEs"	"AOs"	"origins"	"termini"	"borrow"	"adjE"	"non_adjE"	"weakC"	"strongC"	"LAOPS"	"ADJ_LAOPS"
152	476	666	74	65	80	76	6	565	101	22	6	21431	2186
154	486	678	75	66	81	79	0	575	103	23	6	21433	2187
155	493	693	76	66	82	79	1	584	109	23	6	21457	2193
156	493	693	76	66	82	79	7	584	109	23	6	21457	2193
157	494	696	77	66	83	79	7	585	111	23	6	21469	2195
158	494	696	77	66	83	79	7	585	111	23	6	21469	2195
159	494	696	77	66	83	79	8	585	111	23	6	21469	2195
160	499	703	78	66	84	79	2	591	112	23	6	21489	2207
161	501	706	79	66	85	79	5	594	112	23	6	21513	2227
162	508	712	79	67	86	80	0	600	112	24	6	21513	2227
163	516	721	79	67	87	84	0	608	113	24	6	21513	2227
164	522	726	80	68	88	85	0	613	113	25	6	21514	2228
165	532	737	80	70	90	87	0	623	114	26	6	21514	2228
166	539	744	80	71	91	89	0	629	115	27	6	21514	2228
167	546	750	81	72	92	90	0	635	115	28	6	21515	2229
168	555	761	81	73	93	91	0	645	116	29	6	21515	2229
169	557	763	81	74	93	92	5	647	116	29	6	21515	2229
170	560	767	81	74	94	92	2	650	117	29	6	21515	2229
171	564	772	81	75	95	93	2	655	117	29	6	21516	2230
175	567	778	81	76	95	94	3	660	118	29	6	21528	2234
176	567	778	81	76	95	94	7	660	118	29	6	21528	2234
177	570	782	82	76	96	94	8	664	118	29	6	21538	2244
178	570	782	82	76	96	94	4	664	118	29	6	21538	2244
179	571	783	82	76	97	94	2	665	118	29	6	21538	2244
180	571	783	82	76	97	94	3	665	118	29	6	21538	2244
181	571	783	82	76	97	94	2	665	118	29	6	21538	2244
182	571	783	82	76	97	94	3	665	118	29	6	21538	2244
183	572	784	82	76	98	94	3	666	118	29	6	21538	2244
184	572	784	82	76	98	94	3	666	118	29	6	21538	2244
185	572	784	82	76	98	94	2	666	118	29	6	21538	2244
186	574	786	83	76	99	94	5	668	118	29	6	21543	2249
187	583	793	84	77	100	96	0	675	118	31	6	21544	2250
188	584	794	85	77	101	96	6	676	118	31	6	24642	2459
189	584	794	85	77	101	96	4	676	118	31	6	24642	2459
190	584	794	85	77	101	96	3	676	118	31	6	24642	2459
191	586	796	86	77	102	96	1	678	118	31	6	24643	2460
192	587	797	87	77	103	96	5	679	118	31	6	26204	2669
193	588	798	88	77	104	96	5	680	118	31	6	27765	2878
194	590	801	89	77	105	96	6	683	118	31	6	27765	2878
195	594	808	89	78	105	97	3	688	120	31	6	27771	2880
196	608	825	90	81	108	100	0	704	121	32	7	27777	2883
197	610	827	90	81	108	101	1	706	121	32	7	27777	2883
200	627	851	91	82	110	104	2	727	124	32	7	27821	2901
201	632	856	92	84	111	106	1	732	124	32	7	27890	2934
206	639	863	93	85	112	107	0	739	124	33	7	27892	2936
207	646	874	94	87	113	108	1	750	124	33	7	32562	3599
NA	750	1058	98	91	131	123	1	904	154	34	7	43252	4654
