,x
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,5
85,5
86,5
87,5
88,7
89,7
90,7
91,7
92,7
93,7
94,7
95,7
96,8
97,8
98,8
99,8
100,8
101,8
102,8
103,8
104,8
105,8
106,8
107,8
108,8
109,8
110,8
111,8
112,8
113,8
114,8
115,8
116,8
117,8
118,8
119,8
120,8
121,8
122,8
123,8
124,8
125,8
126,8
127,8
128,8
129,10
130,10
131,10
132,10
133,15
134,15
135,15
136,15
137,15
138,27
139,27
140,27
141,27
142,27
143,27
144,27
145,27
146,27
147,27
148,27
149,32
150,34
151,34
152,34
153,34
154,34
155,35
156,38
157,38
158,38
159,38
160,38
161,38
162,68
163,68
164,74
165,78
166,81
167,81
168,81
169,81
170,81
171,86
172,86
173,86
174,86
175,86
176,86
177,86
178,86
179,86
180,86
181,86
182,86
183,86
184,86
185,86
186,86
187,86
188,86
189,86
190,86
191,86
192,86
193,96
194,96
195,96
196,96
197,96
198,96
199,96
200,96
201,96
202,96
203,96
204,96
205,287
206,860
207,1051
208,1051
209,1051
210,2388
211,2388
212,2395
213,2396
214,2396
215,2396
216,2396
217,2396
218,2538
219,2540
220,2542
221,2542
222,2543
223,2543
224,2545
225,2550
226,2550
227,2550
228,2550
229,2550
230,2551
231,2551
232,3295
233,3295
234,3295
235,3295
236,3295
237,3295
238,3295
239,3295
240,3296
241,3296
242,3296
243,3296
244,3296
245,3308
246,3308
247,3308
248,3320
249,3320
250,3320
251,3320
252,3320
253,3320
254,3320
255,3320
256,3321
257,3322
258,3324
259,3324
260,3324
261,3325
262,3325
263,3325
264,3325
265,3325
